TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
238.120634921,-162.309,4.49394,4.77337,7.31716,-2.36538,1.6979,0.880993,3.53492,3.37177,4.28375,2.59021,2.83798,3.64765,3.07968,1.26974,0.828085,-1.82723,-0.74201,-1.1571,-0.745988,-0.17147
238.143854875,-161.31,5.3058,1.19821,7.04796,-1.63084,1.55459,-1.44601,2.09432,3.93618,6.27609,5.08193,1.80878,-2.20919,-1.49839,-0.880883,-0.475807,0.636405,3.92708,1.36681,-1.26579,0.831049
238.167074830,-153.055,-0.36897,1.99712,4.49533,-2.00363,3.81455,1.56339,3.24199,3.49467,4.57023,3.39981,4.93178,1.78704,-0.138783,-1.86436,-0.348955,0.658441,0.922349,-0.547128,-0.58871,-1.88932
238.190294785,-157.686,5.74376,5.61511,8.44078,-1.1121,1.98332,0.757624,3.83009,2.25663,2.58279,1.6361,1.6019,0.848603,0.870562,0.0664018,0.360443,-0.234801,2.92138,1.09263,1.47353,0.322523
238.213514739,-162.294,7.24409,6.35519,7.41629,-2.77696,2.19058,0.6571,5.17189,3.1181,4.06594,2.52908,2.12987,-1.9392,-1.54478,0.0027493,0.639867,0.132369,2.4106,0.940463,0.907745,2.80835
238.236734694,-169.1,5.93274,7.29624,8.60157,1.31455,3.99144,2.33208,3.90874,2.2825,4.24786,2.99306,3.01087,0.47374,1.72077,1.02357,1.95872,0.8624,0.101867,-1.97724,0.859785,1.77722
238.259954649,-157.229,8.07208,4.09833,6.86852,2.14493,4.35655,0.0773537,1.05319,1.08863,2.58399,1.95236,1.60995,-0.392775,0.641015,-0.187632,-0.107904,0.4711,2.81761,1.70627,2.81694,1.17236
238.283174603,-150.67,2.04713,3.39058,3.78578,2.94121,3.4875,0.775185,3.29199,2.46656,3.77544,3.10064,2.84419,0.280417,1.02239,-0.353051,1.81994,-0.503709,1.43722,2.38742,1.06545,0.356856
238.306394558,-150.379,4.50719,4.28539,4.40447,2.51335,4.2115,3.1184,3.1286,2.46391,4.3972,1.07932,1.2468,0.946501,2.33118,-0.31472,0.308307,0.611821,3.52515,1.25074,1.88997,1.23208
238.329614512,-148.396,4.96162,3.61876,3.0705,2.3899,5.37154,2.67336,2.96204,1.38048,2.15958,-0.03244,0.294377,-0.16296,0.106918,1.32515,3.46122,3.39817,1.04112,-1.44239,-0.332058,2.44781
